date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude
02-01-15,shot,gun,53,M,A,Shelton,WA,TRUE,attack,Not fleeing,FALSE,-123.122,47.247
02-01-15,shot,gun,47,M,W,Aloha,OR,FALSE,attack,Not fleeing,FALSE,-122.892,45.487
03-01-15,shot and Tasered,unarmed,23,M,H,Wichita,KS,FALSE,other,Not fleeing,FALSE,-97.281,37.695
04-01-15,shot,toy weapon,32,M,W,San Francisco,CA,TRUE,attack,Not fleeing,FALSE,-122.422,37.763
04-01-15,shot,nail gun,39,M,H,Evans,CO,FALSE,attack,Not fleeing,FALSE,-104.692,40.384
04-01-15,shot,gun,18,M,W,Guthrie,OK,FALSE,attack,Not fleeing,FALSE,-97.423,35.877
05-01-15,shot,gun,22,M,H,Chandler,AZ,FALSE,attack,Car,FALSE,-111.841,33.328
06-01-15,shot,gun,35,M,W,Assaria,KS,FALSE,attack,Not fleeing,FALSE,-97.564,38.704
06-01-15,shot,unarmed,34,F,W,Burlington,IA,FALSE,other,Not fleeing,TRUE,-91.119,40.809
06-01-15,shot,toy weapon,47,M,B,Knoxville,PA,FALSE,attack,Not fleeing,FALSE,-79.991,40.413
06-01-15,shot and Tasered,knife,25,M,W,Stockton,CA,FALSE,attack,Not fleeing,FALSE,-121.299,37.93
07-01-15,shot,gun,31,M,B,Freeport,TX,FALSE,attack,Not fleeing,FALSE,-95.369,28.955
07-01-15,shot,knife,41,M,B,Columbus,OH,TRUE,other,Not fleeing,FALSE,-82.885,39.999
07-01-15,shot,gun,30,M,W,Des Moines,IA,FALSE,attack,Car,FALSE,-93.609,41.582
07-01-15,shot,gun,37,M,B,New Orleans,LA,FALSE,attack,Foot,TRUE,-90.012,30.022
08-01-15,shot,,28,M,W,Huntley,MT,FALSE,undetermined,Not fleeing,FALSE,-108.315,45.859
08-01-15,shot,shovel,42,M,W,Salt Lake City,UT,FALSE,attack,Not fleeing,TRUE,-111.872,40.772
08-01-15,shot,unarmed,36,M,B,Strong,AR,FALSE,attack,Not fleeing,FALSE,-92.359,33.111
08-01-15,shot,gun,49,M,W,Syracuse,UT,FALSE,attack,Not fleeing,TRUE,-112.083,41.083
09-01-15,shot,gun,71,M,W,England,AR,FALSE,attack,Not fleeing,FALSE,-91.966,34.542
09-01-15,shot,gun,33,M,H,El Paso,TX,FALSE,attack,Not fleeing,FALSE,-106.439,31.858
11-01-15,shot,gun,39,M,W,Arcola,IL,TRUE,attack,Not fleeing,FALSE,-88.304,39.692
11-01-15,shot,gun,23,M,H,South Gate,CA,FALSE,attack,Not fleeing,FALSE,-118.183,33.951
11-01-15,shot and Tasered,gun,29,M,H,North Las Vegas,NV,FALSE,attack,Foot,FALSE,-115.116,36.185
13-01-15,shot,gun,34,M,W,Albuquerque,NM,FALSE,attack,Foot,TRUE,-106.586,35.095
13-01-15,shot,knife,43,M,W,Jourdanton,TX,TRUE,other,Not fleeing,FALSE,-98.542,28.912
14-01-15,shot,,24,M,B,St. Paul,MN,FALSE,attack,Not fleeing,FALSE,-93.094,44.958
14-01-15,shot,,29,M,W,Franklin County,MO,FALSE,attack,Not fleeing,FALSE,-90.794,38.317
14-01-15,shot,gun,34,M,B,Chesapeake,VA,TRUE,attack,Not fleeing,FALSE,-76.348,36.783
14-01-15,shot,knife,75,M,W,Old Bridge,NJ,FALSE,attack,Not fleeing,FALSE,-74.301,40.405
14-01-15,shot,gun,68,M,W,Lake Jackson,TX,FALSE,attack,Not fleeing,FALSE,-95.428,29.031
14-01-15,shot,knife,34,M,W,Draper,UT,FALSE,attack,Not fleeing,TRUE,-111.887,40.54
15-01-15,shot,gun,27,M,B,Indianapolis,IN,FALSE,attack,Foot,FALSE,-85.991,39.826
15-01-15,shot,gun,39,M,B,Aurora,CO,FALSE,attack,Not fleeing,FALSE,-104.772,39.726
15-01-15,shot,gun,24,M,W,Bloomington,MN,TRUE,attack,Not fleeing,FALSE,-93.358,44.825
15-01-15,shot,knife,36,M,H,Fairfield,CA,TRUE,other,Not fleeing,FALSE,-121.997,38.266
15-01-15,shot,gun,33,M,W,Evangeline Parish,LA,FALSE,attack,Not fleeing,FALSE,-92.441,30.748
16-01-15,shot,gun,41,M,W,Mabank,TX,FALSE,attack,Car,FALSE,-96.069,32.407
16-01-15,shot and Tasered,knife,48,M,O,Fremont,CA,FALSE,other,Not fleeing,FALSE,-122.06,37.588
17-01-15,shot,gun,21,M,B,Muskogee,OK,FALSE,attack,Foot,TRUE,-95.394,35.766
17-01-15,shot,gun,24,M,H,Los Angeles,CA,FALSE,attack,Not fleeing,FALSE,-118.233,34.038
17-01-15,shot,knife,27,M,H,Fort Worth,TX,FALSE,attack,Not fleeing,FALSE,-97.334,32.811
18-01-15,shot,gun,32,M,W,Maricopa,AZ,TRUE,attack,Not fleeing,FALSE,-112.042,33.085
18-01-15,shot and Tasered,gun,67,M,W,Gunlock,KY,TRUE,attack,Not fleeing,FALSE,-82.921,37.565
19-01-15,shot,knife,49,M,W,Weymouth,MA,FALSE,attack,Not fleeing,FALSE,-70.932,42.257
20-01-15,shot,,42,M,B,Scottsdale,AZ,FALSE,other,Car,FALSE,-111.909,33.509
21-01-15,shot,gun,36,M,W,Hemet,CA,FALSE,attack,Not fleeing,FALSE,-116.958,33.742
21-01-15,shot,gun,36,M,H,Chapeno,TX,FALSE,attack,Foot,FALSE,-99.123,26.559
21-01-15,shot,gun,19,M,B,St. Louis,MO,FALSE,attack,Not fleeing,FALSE,-90.25,38.665
21-01-15,shot,gun,54,M,W,Derry,NH,TRUE,attack,Not fleeing,FALSE,-71.337,42.908
22-01-15,shot,toy weapon,25,M,B,Sierra Blanca,TX,FALSE,attack,Car,FALSE,-105.028,31.08
22-01-15,shot and Tasered,knife,17,F,W,Longview,TX,TRUE,other,Not fleeing,FALSE,-94.746,32.495
23-01-15,shot,,29,M,B,Fort Lauderdale,FL,FALSE,other,Not fleeing,FALSE,-80.212,26.15
23-01-15,shot,knife,56,M,H,Levelland,TX,FALSE,other,Not fleeing,FALSE,-102.369,33.578
23-01-15,shot,gun,61,M,W,Austin,TX,TRUE,attack,Not fleeing,FALSE,-97.789,30.167
24-01-15,shot,gun,45,M,W,Rexburg,ID,FALSE,attack,Not fleeing,FALSE,-111.78,43.826
24-01-15,shot,knife,26,M,B,Baltimore,MD,TRUE,other,Not fleeing,FALSE,-76.648,39.284
24-01-15,shot,gun,40,M,W,Fort Worth,TX,FALSE,attack,Not fleeing,FALSE,-97.38,32.678
25-01-15,shot,gun,26,M,H,Pueblo,CO,FALSE,attack,Car,FALSE,-104.574,38.285
25-01-15,shot,gun,59,M,,Winslow,NJ,FALSE,attack,Not fleeing,FALSE,-74.929,39.749
26-01-15,shot,vehicle,17,F,H,Denver,CO,FALSE,other,Not fleeing,FALSE,-104.909,39.754
26-01-15,shot,gun,68,M,W,New Hope,MN,TRUE,attack,Not fleeing,FALSE,-93.386,45.036
26-01-15,shot,unarmed,24,M,H,Tahoka,TX,FALSE,other,Car,FALSE,-101.666,33.166
26-01-15,shot,knife,34,M,H,Wasco,CA,TRUE,other,Not fleeing,FALSE,-119.335,35.589
27-01-15,shot,knife,39,F,W,Omaha,NE,TRUE,attack,Not fleeing,FALSE,-95.99,41.243
27-01-15,shot,,26,M,N,Phoenix,AZ,FALSE,other,Not fleeing,FALSE,-112.113,33.495
27-01-15,shot,gun,29,M,W,Morenci,AZ,FALSE,attack,Not fleeing,FALSE,-109.326,33.054
27-01-15,shot,gun,33,M,B,Columbus,OH,FALSE,attack,Not fleeing,FALSE,-82.997,39.879
28-01-15,shot,gun,45,M,W,Sunset,TX,FALSE,attack,Not fleeing,FALSE,-97.828,33.47
28-01-15,shot,gun,26,M,W,Rosenberg,TX,FALSE,attack,Not fleeing,FALSE,-95.784,29.558
28-01-15,shot and Tasered,hammer,35,M,A,Stockton,CA,TRUE,attack,Not fleeing,FALSE,-121.316,38.029
29-01-15,shot,gun,31,M,W,Wyoming,MI,TRUE,attack,Not fleeing,FALSE,-85.66,42.894
29-01-15,shot,unarmed,42,M,W,Stillwater,OK,FALSE,other,Foot,FALSE,-97.05,36.121
30-01-15,shot,gun,48,M,W,Billings,MT,FALSE,attack,Foot,FALSE,-108.513,45.79
31-01-15,shot,gun,31,M,H,Houston,TX,FALSE,attack,Not fleeing,FALSE,-95.72,29.861
31-01-15,shot and Tasered,knife,54,M,B,Randallstown,MD,TRUE,other,Not fleeing,FALSE,-76.821,39.38
02-02-15,shot,unarmed,59,M,W,Hummelstown,PA,FALSE,other,Foot,FALSE,-76.713,40.273
02-02-15,shot,gun,42,M,W,Apple Valley,CA,TRUE,attack,Not fleeing,FALSE,-117.177,34.417
02-02-15,shot,gun,17,M,W,Bay City,MI,FALSE,attack,Not fleeing,FALSE,-83.873,43.599
03-02-15,shot,gun,23,M,B,St. Louis,MO,FALSE,attack,Foot,FALSE,-90.21,38.75
03-02-15,shot,gun,38,F,B,Emeryville,CA,FALSE,attack,Car,FALSE,-122.284,37.827
03-02-15,shot,knife,29,M,B,Antioch,CA,TRUE,other,Not fleeing,FALSE,-121.818,37.999
03-02-15,shot,gun,45,M,W,Douglas,GA,TRUE,attack,Not fleeing,FALSE,-82.845,31.523
04-02-15,shot,unarmed,28,M,B,Tallahassee,FL,FALSE,attack,Not fleeing,FALSE,-84.33,30.466
04-02-15,shot,gun,37,M,H,Orlando,FL,FALSE,attack,Not fleeing,FALSE,-81.306,28.5
04-02-15,shot,gun,28,M,H,Tempe,AZ,FALSE,attack,Car,FALSE,-111.978,33.378
04-02-15,shot,unarmed,28,M,H,Tempe,AZ,FALSE,other,Not fleeing,FALSE,-111.978,33.378
04-02-15,shot,gun,51,M,B,Lorena,TX,FALSE,attack,Car,FALSE,-97.208,31.397
04-02-15,shot,knife,36,M,B,Memphis,TN,FALSE,other,Not fleeing,FALSE,-89.932,35.164
05-02-15,shot,gun,59,M,W,Chino,CA,FALSE,other,Car,FALSE,-117.65,33.953
