,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude
0,02-01-15,shot,gun,53.0,M,A,Shelton,WA,True,attack,Not fleeing,False,-123.12200000000001,47.247
1,02-01-15,shot,gun,47.0,M,W,Aloha,OR,False,attack,Not fleeing,False,-122.89200000000001,45.486999999999995
2,03-01-15,shot and Tasered,unarmed,23.0,M,H,Wichita,KS,False,other,Not fleeing,False,-97.281,37.695
3,04-01-15,shot,toy weapon,32.0,M,W,San Francisco,CA,True,attack,Not fleeing,False,-122.42200000000001,37.763000000000005
4,04-01-15,shot,nail gun,39.0,M,H,Evans,CO,False,attack,Not fleeing,False,-104.69200000000001,40.384
5,04-01-15,shot,gun,18.0,M,W,Guthrie,OK,False,attack,Not fleeing,False,-97.42299999999999,35.876999999999995
6,05-01-15,shot,gun,22.0,M,H,Chandler,AZ,False,attack,Car,False,-111.84100000000001,33.328
7,06-01-15,shot,gun,35.0,M,W,Assaria,KS,False,attack,Not fleeing,False,-97.564,38.704
8,06-01-15,shot,unarmed,34.0,F,W,Burlington,IA,False,other,Not fleeing,True,-91.119,40.809
9,06-01-15,shot,toy weapon,47.0,M,B,Knoxville,PA,False,attack,Not fleeing,False,-79.991,40.413000000000004
10,06-01-15,shot and Tasered,knife,25.0,M,W,Stockton,CA,False,attack,Not fleeing,False,-121.29899999999999,37.93
11,07-01-15,shot,gun,31.0,M,B,Freeport,TX,False,attack,Not fleeing,False,-95.369,28.955
12,07-01-15,shot,knife,41.0,M,B,Columbus,OH,True,other,Not fleeing,False,-82.885,39.999
13,07-01-15,shot,gun,30.0,M,W,Des Moines,IA,False,attack,Car,False,-93.609,41.582
14,07-01-15,shot,gun,37.0,M,B,New Orleans,LA,False,attack,Foot,True,-90.012,30.022
15,08-01-15,shot,,28.0,M,W,Huntley,MT,False,undetermined,Not fleeing,False,-108.315,45.858999999999995
16,08-01-15,shot,shovel,42.0,M,W,Salt Lake City,UT,False,attack,Not fleeing,True,-111.87200000000001,40.772
17,08-01-15,shot,unarmed,36.0,M,B,Strong,AR,False,attack,Not fleeing,False,-92.359,33.111
18,08-01-15,shot,gun,49.0,M,W,Syracuse,UT,False,attack,Not fleeing,True,-112.083,41.083
19,09-01-15,shot,gun,71.0,M,W,England,AR,False,attack,Not fleeing,False,-91.96600000000001,34.542
20,09-01-15,shot,gun,33.0,M,H,El Paso,TX,False,attack,Not fleeing,False,-106.439,31.858
21,11-01-15,shot,gun,39.0,M,W,Arcola,IL,True,attack,Not fleeing,False,-88.304,39.692
22,11-01-15,shot,gun,23.0,M,H,South Gate,CA,False,attack,Not fleeing,False,-118.18299999999999,33.951
23,11-01-15,shot and Tasered,gun,29.0,M,H,North Las Vegas,NV,False,attack,Foot,False,-115.116,36.185
24,13-01-15,shot,gun,34.0,M,W,Albuquerque,NM,False,attack,Foot,True,-106.586,35.095
25,13-01-15,shot,knife,43.0,M,W,Jourdanton,TX,True,other,Not fleeing,False,-98.542,28.912
26,14-01-15,shot,,24.0,M,B,St. Paul,MN,False,attack,Not fleeing,False,-93.094,44.958
27,14-01-15,shot,,29.0,M,W,Franklin County,MO,False,attack,Not fleeing,False,-90.794,38.317
28,14-01-15,shot,gun,34.0,M,B,Chesapeake,VA,True,attack,Not fleeing,False,-76.348,36.783
29,14-01-15,shot,knife,75.0,M,W,Old Bridge,NJ,False,attack,Not fleeing,False,-74.301,40.405
30,14-01-15,shot,gun,68.0,M,W,Lake Jackson,TX,False,attack,Not fleeing,False,-95.428,29.031
31,14-01-15,shot,knife,34.0,M,W,Draper,UT,False,attack,Not fleeing,True,-111.887,40.54
32,15-01-15,shot,gun,27.0,M,B,Indianapolis,IN,False,attack,Foot,False,-85.991,39.826
33,15-01-15,shot,gun,39.0,M,B,Aurora,CO,False,attack,Not fleeing,False,-104.772,39.726
