Country,Region,Total Cases,Total Deaths,Total Recovered,Active Cases,Serious_Critical,Population,Total Tests,Tests/1M pop
Benin,West Africa,3055,44,2907,104,,12257311,345560,28192
Burkina Faso,West Africa,3156,68,2697,391,,21145051,,
Cabo Verde,West Africa,11036,109,10541,386,23,558576,105444,188773
Ivory Coast,West Africa,21485,132,21109,244,,26654550,225399,8456
Gambia,West Africa,3770,123,3615,32,2,2445287,26072,10662
Ghana,West Africa,52198,325,51019,854,19,31348349,602106,19207
Guinea,West Africa,13233,76,12355,802,24,13283100,79810,6008
Guinea-Bissau,West Africa,2441,44,2327,70,5,1987697,29037,14608
Liberia,West Africa,1676,83,1358,235,2,5108024,35957,7039
Mali,West Africa,5135,164,3369,1602,,20496522,104321,5090
Mauritania,West Africa,9516,188,7849,1479,30,4701271,106996,22759
Niger,West Africa,1856,77,1237,542,9,24572889,47907,1950
Nigeria,West Africa,68937,1180,64650,3107,10,208300510,791539,3800
Saint Helena,West Africa,0,0,0,0,0,0,0,0
Senegal,West Africa,16477,338,15776,363,8,16930251,236713,13982
Sierra Leone,West Africa,2426,74,1846,506,,8045900,,
Togo,West Africa,3085,65,2624,396,,8360900,153945,18412
