Country,Region,Total Cases,Total Deaths,Total Recovered,Active Cases,Serious_Critical,Population,Total Tests,Tests/1M pop
Burundi,East Africa,694,1,575,118,,12039804,62215,5167
Comoros,East Africa,616,7,600,9,,877463,,
Djibouti,East Africa,5701,61,5593,47,,994138,93540,94092
Eritrea,East Africa,632,,508,124,,3567406,21655,6070
Ethiopia,East Africa,113295,1747,80831,30717,317,116168018,1669754,14374
Kenya,East Africa,88380,1526,68929,17925,76,54273641,927082,17082
Madagascar,East Africa,17513,255,16927,331,16,27991823,95472,3411
Malawi,East Africa,6051,185,5476,390,4,19338802,76148,3938
Mauritius,East Africa,508,10,465,33,,1272680,289552,227514
Mayotte,East Africa,5181,49,2964,2168,4,275601,25231,91549
Mozambique,East Africa,16244,133,14416,1695,,31624580,238362,7537
Rwanda,East Africa,6129,51,5696,382,,13088013,644631,49254
Seychelles,East Africa,184,,168,16,,98609,5200,52734
Somalia,East Africa,4525,121,3480,924,,16080166,,
South Sudan,East Africa,3166,62,2977,127,1,11249945,61964,5508
Tanzania,East Africa,509,21,183,305,7,60451126,,
Uganda,East Africa,22499,206,9175,13118,,46347726,641893,13850
Zambia,East Africa,17916,364,17173,379,,18600999,440644,23689
Zimbabwe,East Africa,10718,291,8880,1547,,14955363,186397,12464
