height,weight
63,129
69,150
71,159
68,146
58,115
71,159
67,142
64,132
58,115
62,126
58,115
65,135
71,159
66,139
60,120
66,139
63,129
61,123
68,146
65,135
65,135
68,146
70,154
67,142
59,117
64,132
58,115
70,154
60,120
59,117
67,142
63,129
62,126
67,142
66,139
63,129
70,154
66,139
66,139
63,129
70,154
72,164
64,132
63,129
65,135
70,154
63,129
60,120
62,126
59,117
61,123
59,117
62,126
62,126
65,135
59,117
70,154
70,154
70,154
59,117
67,142
65,135
69,150
64,132
69,150
58,115
63,129
70,154
61,123
67,142
59,117
68,146
68,146
63,129
64,132
64,132
69,150
65,135
66,139
66,139
60,120
61,123
70,154
71,159
59,117
62,126
66,139
58,115
60,120
71,159
67,142
65,135
65,135
65,135
66,139
59,117
68,146
70,154
71,159
64,132
67,142
62,126
61,123
61,123
60,120
58,115
68,146
67,142
66,139
61,123
64,132
61,123
63,129
72,164
60,120
71,159
67,142
64,132
65,135
67,142
63,129
58,115
61,123
59,117
71,159
71,159
66,139
65,135
65,135
64,132
71,159
70,154
58,115
66,139
66,139
71,159
65,135
71,159
64,132
61,123
66,139
69,150
58,115
61,123
68,146
67,142
70,154
65,135
70,154
72,164
59,117
66,139
67,142
64,132
64,132
60,120
62,126
69,150
61,123
70,154
66,139
64,132
64,132
67,142
63,129
61,123
68,146
59,117
67,142
58,115
64,132
65,135
64,132
62,126
72,164
65,135
58,115
61,123
67,142
67,142
59,117
71,159
58,115
59,117
62,126
67,142
67,142
59,117
66,139
58,115
60,120
61,123
68,146
71,159
61,123
71,159
70,154
66,139
65,135
61,123
69,150
70,154
63,129
62,126
71,159
64,132
61,123
62,126
67,142
58,115
61,123
61,123
72,164
72,164
65,135
69,150
61,123
66,139
65,135
67,142
70,154
64,132
71,159
59,117
69,150
64,132
68,146
61,123
67,142
67,142
63,129
61,123
70,154
61,123
58,115
63,129
59,117
67,142
64,132
66,139
65,135
60,120
70,154
70,154
64,132
59,117
68,146
69,150
71,159
68,146
66,139
69,150
59,117
63,129
58,115
62,126
72,164
58,115
70,154
72,164
58,115
65,135
67,142
60,120
71,159
61,123
70,154
68,146
61,123
64,132
62,126
61,123
67,142
68,146
63,129
72,164
61,123
70,154
58,115
63,129
59,117
59,117
69,150
65,135
70,154
62,126
62,126
71,159
59,117
67,142
67,142
62,126
69,150
67,142
70,154
65,135
62,126
66,139
58,115
58,115
