"Employee","Work_Hours","Performance_Score"
"EMP0415",37,78
"EMP0463",39,81
"EMP0179",39,78
"EMP0526",41,75
"EMP0195",39,77
"EMP0938",34,80
"EMP0818",40,82
"EMP0118",44,76
"EMP0299",44,77
"EMP0229",38,84
"EMP0244",35,79
"EMP0014",47,81
"EMP0374",40,79
"EMP0665",40,79
"EMP0602",41,80
"EMP0603",35,80
"EMP0768",38,80
"EMP0709",35,79
"EMP0091",38,74
"EMP0953",40,84
"EMP0348",36,84
"EMP0649",42,78
"EMP0355",41,80
"EMP0840",37,83
"EMP0026",41,82
"EMP0519",42,83
"EMP0426",43,78
"EMP0979",39,85
"EMP0766",40,78
"EMP0211",40,82
"EMP0932",44,80
"EMP0590",43,79
"EMP0593",43,79
"EMP0555",39,78
"EMP0871",41,83
"EMP0373",41,80
"EMP0844",37,81
"EMP0143",35,80
"EMP0544",42,79
"EMP0490",35,78
"EMP0621",40,81
"EMP0775",41,76
"EMP0905",42,77
"EMP0937",41,78
"EMP0842",38,78
"EMP0023",43,80
"EMP0923",45,83
"EMP0309",43,77
"EMP0135",34,81
"EMP0821",44,82
"EMP0954",40,78
"EMP0224",42,80
"EMP0166",42,82
"EMP0217",40,79
"EMP0290",40,80
"EMP0581",43,81
"EMP0072",42,80
"EMP0588",43,79
"EMP0575",47,80
"EMP0141",42,84
"EMP0722",41,82
"EMP0865",33,78
"EMP0859",48,78
"EMP0153",39,79
"EMP0294",47,83
"EMP0277",41,81
"EMP0999",45,79
"EMP0041",40,82
"EMP0431",42,80
"EMP0090",41,78
"EMP0316",39,81
"EMP0223",40,83
"EMP0528",43,81
"EMP0116",39,80
"EMP0606",34,79
"EMP0774",39,81
"EMP0747",42,78
"EMP0456",42,77
"EMP0598",42,80
"EMP0854",35,80
"EMP0039",41,85
"EMP0159",43,78
"EMP0752",44,80
"EMP0209",39,82
"EMP0988",39,82
"EMP0994",44,80
"EMP0034",35,79
"EMP0516",39,80
"EMP0013",41,84
"EMP0069",35,81
"EMP0895",41,76
"EMP0755",46,83
"EMP0409",40,81
"EMP0308",39,80
"EMP0278",41,80
"EMP0089",39,80
"EMP0537",42,81
"EMP0291",43,79
"EMP0424",40,81
"EMP0880",36,78
"EMP0286",36,80
"EMP0671",38,82
"EMP0121",42,81
"EMP0110",34,82
"EMP0158",34,78
"EMP0064",38,80
"EMP0483",41,81
"EMP0477",37,78
"EMP0480",43,83
"EMP0711",41,78
"EMP0067",39,80
"EMP0663",42,80
"EMP0847",41,80
"EMP0085",39,80
"EMP0165",41,81
"EMP0648",42,78
"EMP0051",41,77
"EMP0074",38,79
"EMP0178",43,80
"EMP0362",43,83
"EMP0236",41,83
"EMP0610",40,81
"EMP0330",40,81
"EMP0726",46,80
"EMP0127",41,80
"EMP0212",40,77
"EMP0686",32,81
"EMP0785",35,79
"EMP0814",40,81
"EMP0310",41,79
"EMP0744",41,79
"EMP0243",42,80
"EMP0862",39,79
"EMP0888",44,82
"EMP0792",37,80
"EMP0113",36,81
"EMP0619",36,78
"EMP0893",42,83
"EMP0151",40,80
"EMP0666",42,78
"EMP0614",39,81
"EMP0767",38,82
"EMP0160",39,77
"EMP0391",34,83
"EMP0155",36,80
"EMP0974",36,82
"EMP0005",43,80
"EMP0326",38,79
"EMP0784",42,76
"EMP0280",45,78
"EMP0800",39,80
"EMP0789",41,82
"EMP0567",35,76
"EMP0843",38,83
"EMP0238",40,83
"EMP0764",41,78
"EMP0339",38,81
"EMP0920",48,78
"EMP0822",39,80
"EMP0137",40,82
"EMP0455",42,82
"EMP0738",40,78
"EMP0560",38,79
"EMP0589",43,78
"EMP0083",45,81
"EMP0696",40,77
"EMP0867",42,75
"EMP0196",40,83
"EMP0769",43,85
"EMP0680",37,79
"EMP0900",47,82
"EMP0926",38,80
"EMP0500",36,83
"EMP0852",39,81
"EMP0344",40,80
"EMP0966",45,76
"EMP0459",43,82
"EMP0020",40,79
"EMP0996",36,77
"EMP0164",37,80
"EMP0052",40,80
"EMP0534",48,82
"EMP0177",34,78
"EMP0554",43,79
"EMP0084",38,83
"EMP0523",45,83
"EMP0633",37,82
"EMP0392",40,83
"EMP0302",37,80
"EMP0597",43,79
"EMP0706",44,81
"EMP0864",46,82
"EMP0837",42,85
"EMP0430",46,76
"EMP0710",44,81
"EMP0761",40,81
"EMP0712",41,80
"EMP0428",37,77
"EMP0672",39,81
"EMP0250",44,78
"EMP0429",42,81
"EMP0398",41,82
"EMP0928",37,83
"EMP0381",38,77
"EMP0545",38,82
"EMP0040",41,78
"EMP0522",37,77
"EMP0473",42,83
"EMP0200",37,82
"EMP0125",45,80
"EMP0265",41,82
"EMP0959",38,78
"EMP0186",41,80
"EMP0573",39,80
"EMP0252",41,79
"EMP0458",41,81
"EMP0152",37,83
"EMP0054",38,79
"EMP0538",41,80
"EMP0235",45,83
"EMP0289",43,79
"EMP0185",38,75
"EMP0765",42,81
"EMP0413",40,78
"EMP0627",41,78
"EMP0794",41,83
"EMP0981",48,85
"EMP0783",36,78
"EMP0205",40,82
"EMP0904",35,80
"EMP0564",42,80
"EMP0857",43,82
"EMP0908",44,80
"EMP0727",34,78
"EMP0346",41,79
"EMP0858",45,81
"EMP0468",39,75
"EMP0509",39,82
"EMP0057",40,77
"EMP0457",41,80
"EMP0617",42,80
"EMP0357",44,83
"EMP0279",40,80
"EMP0270",41,80
"EMP0646",47,81
"EMP0347",41,78
"EMP0129",41,80
"EMP0218",36,82
"EMP0618",40,81
"EMP0698",39,77
"EMP0337",40,81
"EMP0976",38,77
"EMP0539",38,79
"EMP0975",38,82
"EMP0861",39,75
"EMP0553",44,76
"EMP0724",43,83
"EMP0390",39,78
"EMP0498",35,82
"EMP0222",37,80
"EMP0899",39,81
"EMP0657",40,82
"EMP0421",38,79
"EMP0762",46,79
"EMP0660",39,79
"EMP0163",36,86
"EMP0846",40,80
"EMP0673",37,81
"EMP0578",40,79
"EMP0913",41,80
"EMP0878",41,83
"EMP0225",35,79
"EMP0389",41,80
"EMP0117",41,81
"EMP0771",36,79
"EMP0885",43,84
"EMP0055",42,77
"EMP0947",47,84
"EMP0811",40,79
"EMP0557",40,83
"EMP0658",40,76
"EMP0682",40,82
