"Date","Sales","Category"
"2024-06-27",519,"Electronics"
"2024-01-14",745,"Clothing"
"2024-07-13",850,"Clothing"
"2024-11-01",912,"Electronics"
"2024-04-27",657,"Furniture"
"2024-10-25",681,"Clothing"
"2024-08-16",683,"Furniture"
"2024-08-31",988,"Furniture"
"2024-01-14",925,"Electronics"
"2024-06-01",867,"Clothing"
"2024-03-30",643,"Clothing"
"2024-03-31",775,"Electronics"
"2024-09-12",781,"Electronics"
"2024-07-15",492,"Clothing"
"2024-03-31",354,"Furniture"
"2024-12-13",828,"Furniture"
"2024-05-16",394,"Furniture"
"2024-12-20",700,"Clothing"
"2024-11-23",750,"Clothing"
"2024-01-26",813,"Furniture"
"2024-01-07",738,"Electronics"
"2024-05-16",553,"Furniture"
"2024-09-10",897,"Electronics"
"2024-07-29",1048,"Furniture"
"2024-03-18",876,"Furniture"
"2024-03-21",311,"Furniture"
"2024-02-12",980,"Clothing"
"2024-12-24",689,"Electronics"
"2024-11-27",805,"Electronics"
"2024-05-22",824,"Furniture"
"2024-02-01",681,"Electronics"
"2024-04-18",685,"Clothing"
"2024-09-19",904,"Clothing"
"2024-11-25",842,"Furniture"
"2024-01-23",898,"Clothing"
"2024-11-04",1177,"Electronics"
"2024-05-14",833,"Electronics"
"2024-11-04",741,"Clothing"
"2024-08-11",258,"Furniture"
"2024-06-14",1238,"Electronics"
"2024-08-04",603,"Electronics"
"2024-10-16",1175,"Electronics"
"2024-03-09",775,"Electronics"
"2024-03-12",1008,"Electronics"
"2024-03-16",678,"Electronics"
"2024-03-03",802,"Furniture"
"2024-05-20",743,"Electronics"
"2024-07-28",663,"Clothing"
"2024-12-18",676,"Furniture"
"2024-12-12",903,"Furniture"
"2024-06-01",660,"Furniture"
"2024-10-20",292,"Clothing"
"2024-10-03",661,"Clothing"
"2024-02-10",808,"Electronics"
"2024-03-30",823,"Furniture"
"2024-11-11",823,"Clothing"
"2024-08-10",362,"Electronics"
"2024-01-16",774,"Electronics"
"2024-04-25",894,"Furniture"
"2024-04-03",955,"Clothing"
"2024-09-18",655,"Clothing"
"2024-08-22",636,"Electronics"
"2024-03-26",998,"Electronics"
"2024-12-07",366,"Furniture"
"2024-02-08",613,"Furniture"
"2024-06-07",791,"Electronics"
"2024-08-27",376,"Clothing"
"2024-07-27",756,"Electronics"
"2024-11-01",1076,"Clothing"
"2024-02-03",699,"Electronics"
"2024-01-04",644,"Furniture"
"2024-01-13",795,"Furniture"
"2024-03-09",644,"Clothing"
"2024-08-30",863,"Clothing"
"2024-11-03",881,"Furniture"
"2024-10-04",701,"Electronics"
"2024-03-29",465,"Clothing"
"2024-01-25",436,"Clothing"
"2024-10-17",581,"Clothing"
"2024-10-12",859,"Electronics"
"2024-06-07",308,"Clothing"
"2024-04-30",323,"Electronics"
"2024-04-19",569,"Furniture"
"2024-06-06",779,"Furniture"
"2024-03-04",517,"Furniture"
"2024-07-17",877,"Clothing"
"2024-03-07",767,"Clothing"
"2024-05-30",666,"Furniture"
"2024-11-30",864,"Furniture"
"2024-03-25",778,"Electronics"
"2024-06-13",611,"Clothing"
"2024-05-15",746,"Clothing"
"2024-02-20",830,"Furniture"
"2024-03-14",771,"Clothing"
"2024-06-26",568,"Electronics"
"2024-12-27",871,"Furniture"
"2024-08-23",931,"Clothing"
"2024-04-07",755,"Electronics"
"2024-11-25",729,"Electronics"
"2024-08-01",685,"Clothing"
"2024-05-06",1132,"Clothing"
"2024-07-30",755,"Electronics"
"2024-06-22",668,"Electronics"
"2024-09-29",198,"Furniture"
"2024-10-28",387,"Furniture"
"2024-11-05",684,"Electronics"
"2024-08-19",741,"Clothing"
"2024-12-31",755,"Furniture"
"2024-08-30",864,"Clothing"
"2024-12-15",661,"Furniture"
"2024-11-30",943,"Electronics"
"2024-10-06",516,"Clothing"
"2024-04-22",458,"Furniture"
"2024-04-16",454,"Furniture"
"2024-05-30",848,"Clothing"
"2024-06-02",683,"Furniture"
"2024-04-11",858,"Clothing"
"2024-09-11",646,"Furniture"
"2024-06-08",582,"Clothing"
"2024-06-03",626,"Electronics"
"2024-01-05",329,"Electronics"
"2024-11-21",466,"Furniture"
"2024-09-28",412,"Furniture"
"2024-10-06",911,"Clothing"
"2024-10-14",581,"Clothing"
"2024-10-03",858,"Clothing"
"2024-02-24",1003,"Clothing"
"2024-11-26",662,"Clothing"
"2024-08-25",757,"Electronics"
"2024-09-08",350,"Electronics"
"2024-12-04",536,"Furniture"
"2024-02-08",711,"Furniture"
"2024-11-05",760,"Clothing"
"2024-05-16",548,"Clothing"
"2024-08-13",1237,"Furniture"
"2024-02-17",608,"Electronics"
"2024-03-17",713,"Furniture"
"2024-03-23",830,"Clothing"
"2024-07-02",695,"Electronics"
"2024-02-08",571,"Furniture"
"2024-07-14",909,"Clothing"
"2024-09-13",1023,"Clothing"
"2024-06-16",694,"Furniture"
"2024-10-12",812,"Electronics"
"2024-04-03",681,"Furniture"
"2024-09-28",903,"Electronics"
"2024-12-09",469,"Clothing"
"2024-11-05",1164,"Electronics"
"2024-01-20",579,"Electronics"
"2024-12-25",408,"Electronics"
"2024-07-13",630,"Electronics"
"2024-12-14",729,"Electronics"
"2024-06-12",1025,"Clothing"
"2024-02-21",882,"Furniture"
"2024-12-29",728,"Clothing"
"2024-01-22",422,"Clothing"
"2024-06-25",527,"Clothing"
"2024-02-11",667,"Electronics"
"2024-11-10",1211,"Electronics"
"2024-03-24",328,"Furniture"
"2024-01-11",926,"Clothing"
"2024-04-30",595,"Furniture"
"2024-10-28",1033,"Furniture"
"2024-03-25",472,"Clothing"
"2024-12-30",729,"Electronics"
"2024-07-12",480,"Electronics"
"2024-04-16",881,"Clothing"
"2024-03-17",997,"Clothing"
"2024-07-16",1090,"Furniture"
"2024-09-05",860,"Electronics"
"2024-07-18",1069,"Clothing"
"2024-06-08",949,"Electronics"
"2024-09-06",674,"Clothing"
"2024-10-18",795,"Furniture"
"2024-01-16",506,"Electronics"
"2024-02-02",663,"Furniture"
"2024-02-09",944,"Clothing"
"2024-01-10",808,"Clothing"
"2024-07-18",791,"Furniture"
"2024-05-04",492,"Electronics"
"2024-09-21",579,"Clothing"
"2024-09-19",547,"Electronics"
"2024-07-04",779,"Clothing"
"2024-03-01",502,"Clothing"
"2024-09-08",812,"Furniture"
"2024-05-31",477,"Clothing"
"2024-11-14",1066,"Furniture"
"2024-02-23",792,"Furniture"
"2024-01-26",560,"Clothing"
"2024-08-22",748,"Furniture"
"2024-10-15",630,"Electronics"
"2024-07-03",774,"Electronics"
"2024-09-09",749,"Clothing"
"2024-04-24",497,"Clothing"
"2024-01-10",542,"Furniture"
"2024-11-04",760,"Furniture"
"2024-02-23",1028,"Furniture"
"2024-07-23",917,"Clothing"
"2024-12-28",575,"Clothing"
"2024-09-23",865,"Electronics"
"2024-01-25",690,"Clothing"
"2024-02-21",760,"Clothing"
"2024-10-08",752,"Electronics"
"2024-08-02",1215,"Clothing"
"2024-12-11",463,"Clothing"
"2024-06-08",720,"Furniture"
"2024-02-26",344,"Electronics"
"2024-04-14",818,"Electronics"
"2024-12-22",919,"Electronics"
"2024-10-05",989,"Clothing"
"2024-09-26",315,"Furniture"
"2024-12-31",783,"Clothing"
"2024-05-13",1019,"Clothing"
"2024-12-12",617,"Clothing"
"2024-05-08",658,"Electronics"
"2024-08-05",693,"Clothing"
"2024-04-15",773,"Electronics"
"2024-07-04",833,"Furniture"
"2024-12-02",964,"Furniture"
"2024-10-11",681,"Clothing"
"2024-01-26",739,"Electronics"
"2024-01-27",1198,"Furniture"
"2024-01-07",786,"Clothing"
"2024-09-01",738,"Clothing"
"2024-06-02",432,"Furniture"
"2024-02-10",701,"Electronics"
"2024-07-30",656,"Clothing"
"2024-08-09",698,"Clothing"
"2024-06-07",585,"Electronics"
"2024-12-14",563,"Furniture"
"2024-05-24",556,"Furniture"
"2024-02-26",657,"Electronics"
"2024-05-27",974,"Furniture"
"2024-06-11",910,"Electronics"
"2024-08-25",628,"Furniture"
"2024-06-09",363,"Furniture"
"2024-03-06",531,"Furniture"
"2024-01-04",608,"Clothing"
"2024-11-25",721,"Clothing"
"2024-08-12",567,"Electronics"
"2024-04-26",1101,"Furniture"
"2024-01-25",646,"Clothing"
"2024-05-15",457,"Furniture"
"2024-02-24",672,"Furniture"
"2024-08-04",499,"Furniture"
"2024-03-25",731,"Furniture"
"2024-02-14",747,"Clothing"
"2024-05-25",771,"Clothing"
"2024-06-18",376,"Clothing"
"2024-05-13",744,"Electronics"
"2024-07-17",762,"Clothing"
"2024-12-26",416,"Electronics"
"2024-06-24",891,"Clothing"
"2024-09-01",857,"Furniture"
"2024-11-04",1160,"Clothing"
"2024-04-13",731,"Electronics"
"2024-11-04",709,"Electronics"
"2024-11-14",719,"Furniture"
"2024-07-17",714,"Electronics"
"2024-07-28",330,"Electronics"
"2024-12-14",366,"Clothing"
"2024-08-12",684,"Furniture"
"2024-09-14",584,"Furniture"
"2024-06-25",711,"Furniture"
